calculator_id,name,question,user,frequency,inputs,outputs,formula,datasets,source,confidence,difficulty,value,recurrence,seo,shareable,customization,risk,data_dependency,evergreen,recommendation
CALC001,IV Trade Probability,¿Qué probabilidad tengo de conseguir ciertos IVs al intercambiar?,Hardcore/Casual,Alta,"Amistad, IVs objetivo","Probabilidad, test vectors",FOR013 + uniforme,Ninguno,SRC004,Alta,Baja,Alta,Alta,Alta,Sí,Baja,Nulo,Baja,Sí,MVP
CALC002,Lucky Trade Cumulative Odds,¿Cuántos intercambios necesito para asegurar un Pokémon Lucky con X confianza?,Hardcore/Casual,Alta,"Antigüedad, n intercambios, confianza deseada","Probabilidad acumulada, n necesario",Geométrica acumulada,Ninguno,SRC004,Alta,Baja,Alta,Alta,Alta,Sí,Baja,Nulo,Baja,Sí,MVP
CALC003,CP & Level Calculator,¿Qué CP y HP tendrá mi Pokémon en un nivel e IVs específicos?,Casual/Hardcore,Alta,"Especie, Nivel, IVs","CP, HP",FOR006 + FOR007,DAT001,SRC002,Alta,Baja,Alta,Alta,Alta,Sí,Baja,Nulo,Alta,Sí,Fase 2
CALC004,IV Appraisal Decoder,¿Cuáles son los posibles IVs de mi Pokémon según su CP y coste de Polvos?,Casual,Alta,"Especie, CP, HP, Polvos, Appraisal visual","Lista de combinaciones de IVs posibles",Búsqueda iterativa CP/HP,DAT001,SRC008,Alta,Media,Alta,Alta,Alta,No,Media,Bajo,Alta,Sí,Fase 2
CALC005,Evolution CP Estimator,¿Qué CP tendrá mi Pokémon al evolucionar?,Casual,Alta,"Especie, CP actual, IVs (opcional)","Rango de CP tras evolución",Multiplicador evolutivo / CP exacto,DAT001,SRC002,Alta,Baja,Media,Media,Alta,Sí,Baja,Nulo,Alta,Sí,Fase 2
CALC006,Power-Up Resource Cost,¿Cuántos Caramelos y Polvos necesito para llevar a mi Pokémon de nivel X a nivel Y?,Casual,Alta,"Especie, Nivel actual, Nivel objetivo, Tipo (Shadow/Lucky)","Coste total de Caramelos y Polvos",Sumatoria de costos por nivel,DAT001,SRC002,Alta,Baja,Alta,Alta,Alta,Sí,Baja,Nulo,Alta,Sí,Fase 2
CALC007,PvE Breakpoint Calculator,¿En qué nivel mi ataque rápido hace 1 punto más de daño al Boss?,Hardcore,Media,"Atacante, IV Atk, Movimiento rápido, Defensor (Boss), Clima, Amistad","Nivel exacto del breakpoint, daño por golpe",FOR010,DAT001 + DAT005,SRC005,Alta,Media,Alta,Media,Alta,Sí,Alta,Bajo,Alta,Sí,Fase 2
CALC008,Raid Damage Simulator,¿Puedo derrotar a este Boss de Raid solo o en pareja?,Hardcore,Alta,"Equipo atacante, Boss, Clima, Amistad, Esquiva","Daño infligido (TDO), tiempo restante (TTW), muertes, viabilidad",Simulación basada en ticks de 0.5s,DAT001 + DAT004 + DAT005,SRC005,Media,Alta,Alta,Alta,Alta,Sí,Alta,Medio,Alta,Sí,Fase 2
CALC009,PvP IV Ranker (Stat Product),¿Qué tan buenos son los IVs de mi Pokémon para PvP?,Hardcore,Alta,"Especie, Liga (Super/Ultra/Little), IVs actuales","Rank de 1 a 4096, porcentaje de Stat Product máximo, CP óptimo",Stat Product = Atk*Def*Stamina,DAT001,SRC003,Alta,Baja,Alta,Alta,Alta,Sí,Baja,Nulo,Alta,Sí,Fase 2
CALC010,PvP Matchup Simulator,¿Quién gana en un 1v1 con escudos definidos?,Hardcore,Alta,"Atacante, Defensor, Escudos (0/1/2), Energía inicial","Ganador, HP restante, energía restante, simulación de turnos",Simulación de turnos PvP,DAT001 + DAT004,SRC003,Alta,Alta,Alta,Alta,Alta,Sí,Alta,Medio,Alta,Sí,Fase 2
CALC011,PvP Breakpoint & Bulkpoint,¿Qué IVs necesito para optimizar el daño contra un oponente específico?,Hardcore,Media,"Atacante, Defensor, Liga","IVs óptimos de Atk (breakpoint) y Def (bulkpoint)",FOR011,DAT001 + DAT004,SRC003,Alta,Media,Alta,Media,Media,Sí,Alta,Bajo,Alta,Sí,Fase 2
CALC012,Catch Odds Calculator,¿Qué probabilidad tengo de capturar al Pokémon con este tiro?,Casual,Alta,"Especie, Nivel, Pokéball, Baya, Tipo de tiro, Medallas","Probabilidad de captura por tiro",FOR008,DAT001,SRC004,Alta,Baja,Media,Media,Alta,Sí,Media,Nulo,Alta,Sí,Fase 2
CALC013,Egg Hatch Expected Value,¿Vale la pena incubar en este evento según mis prioridades?,Hardcore,Baja,"Pool de huevos del evento, Objetivos deseados, Pesos del usuario","Valor esperado del huevo en caramelos/shiny/especies",Suma producto (probabilidad * valor),DAT002,SRC004,Media,Media,Media,Baja,Media,Sí,Alta,Bajo,Alta,No,Fase 3
CALC014,Shiny Confidence Calculator,¿Cuántos encuentros necesito para tener un 95% de probabilidad de capturar el Shiny?,Casual,Alta,"Especie (método), confianza deseada","Número de encuentros esperados, probabilidad de no ver ninguno",1 - (1 - rate)^n,DAT003,SRC004,Alta,Baja,Alta,Media,Alta,Sí,Baja,Nulo,Alta,Sí,Fase 2
CALC015,Max Move Upgrade Cost,¿Cuántas Partículas Max y Caramelos necesito para maximizar mis Max Moves?,Casual,Alta,"Especie, Niveles actuales de Max Moves, Niveles objetivo","Coste total de Partículas Max y Caramelos",Sumatoria de tablas de costo,DAT006,SRC010,Alta,Baja,Alta,Alta,Alta,Sí,Baja,Nulo,Alta,Sí,Fase 2
CALC016,Max Battle Team Simulator,¿Podemos derrotar a este Power Spot Boss con mi equipo Dynamax?,Hardcore,Alta,"Equipo, Niveles de Max Moves, Boss","Viabilidad del combate, daño, curaciones necesarias",Simulación por turnos de Max Battle,DAT001 + DAT006,SRC010,Media,Alta,Alta,Alta,Alta,Sí,Alta,Medio,Alta,Sí,Fase 3
CALC017,Buddy Level Up Planner,¿En cuántos días llegaré a Mejor Compañero con mi rutina?,Casual,Baja,"Actividades diarias (caminar, alimentar, combatir)","Días necesarios, corazones acumulados",Suma diaria de corazones,Ninguno,SRC001,Alta,Baja,Baja,Baja,Baja,No,Baja,Nulo,Baja,Sí,Descartar
CALC018,Mega Cooldown Optimizer,¿Cómo optimizar mi Mega Energía para alcanzar nivel Mega 3 rápido?,Hardcore,Baja,"Nivel Mega actual, Mega Energía disponible, Frecuencia de uso","Días necesarios, costo de energía esperado",Simulación de progresión con cooldown,DAT001,SRC002,Alta,Baja,Media,Baja,Baja,Sí,Baja,Nulo,Alta,Sí,Fase 3
CALC019,Shadow vs Purified Cost-Benefit,¿Conviene purificar a este Pokémon de IVs X/Y/Z?,Hardcore,Alta,"Especie, IVs shadow, Uso (PvE/PvP)","Comparativa de daño, costo de recursos y CP final (Shadow vs Purified)",Comparación de CP/Daño/Recursos,DAT001 + DAT004,SRC002,Alta,Baja,Alta,Alta,Alta,Sí,Baja,Nulo,Alta,Sí,Fase 2
CALC020,Elite TM Value Matrix,¿A qué Pokémon le conviene más una MT Élite?,Hardcore,Alta,"Uso (PvE/PvP), Lista de Pokémon del inventario","Incremento porcentual de DPS/TDO o relevancia en PvP",Cálculo de delta de DPS/Stat product,DAT001 + DAT004,SRC005,Alta,Media,Alta,Alta,Alta,Sí,Media,Bajo,Alta,Sí,Fase 2
CALC021,XP Grind Planner,¿Cómo llego al nivel 50 de forma óptima?,Casual,Baja,"Nivel actual, XP actual, Actividades preferidas","Tiempo estimado, estrategia óptima",Regresión lineal simple de XP,Ninguno,SRC001,Alta,Baja,Baja,Baja,Media,No,Baja,Nulo,Baja,Sí,Descartar
CALC022,Stardust Farm Planner,¿Cuánto tardaré en conseguir X polvos estelares?,Casual,Baja,"Objetivo de polvos, Actividades (capturas, raids, GBL)","Días estimados, distribución de actividades",Suma simple por actividad,Ninguno,SRC001,Alta,Baja,Baja,Baja,Media,No,Baja,Nulo,Baja,Sí,Descartar
CALC023,Bag & Storage expansion utility,¿Me conviene ampliar espacio de Pokémon u Objetos?,Casual,Baja,"Estilo de juego (activo/inactivo), espacio actual","Recomendación cualitativa y retorno de inversión esperado",Matriz de utilidad subjetiva,Ninguno,SRC001,Baja,Baja,Baja,Baja,Baja,No,Baja,Nulo,Baja,Sí,Descartar
CALC024,Raid Pass expected value,¿Cuál es el valor real de mis monedas en pases de incursión?,Casual,Baja,"Precio del pack de monedas, Tipo de pases","Monedas por pase, caramelos/experiencia/shiny por moneda",Ratios lineales simples,Ninguno,SRC001,Alta,Baja,Baja,Baja,Baja,No,Baja,Nulo,Baja,Sí,Descartar
CALC025,Event Shiny Odds Compatibility Test,¿Mis reportes locales se desvían de las tasas de shiny esperadas?,Hardcore,Media,"Encuentros totales, Shinys observados, Tasa esperada","Intervalo de confianza, p-valor, tamaño de efecto, conclusión de anomalía",Wilson / Clopper-Pearson / Binomial exacto,DAT003,SRC004,Alta,Media,Alta,Media,Media,Sí,Baja,Bajo,Alta,Sí,Fase 3
CALC026,Friendship coordinate planner,¿Cuándo activar Huevo Suerte para maximizar el XP de amistad?,Casual,Baja,"Lista de amigos a 1 día de subir de nivel, Zona horaria","Calendario recomendado de apertura",Algoritmo de agrupación horaria,Ninguno,SRC001,Alta,Baja,Baja,Baja,Baja,No,Baja,Nulo,Baja,Sí,Descartar
CALC027,Type Effectiveness Matrix,¿Cuáles son las debilidades y fortalezas de una combinación de tipos?,Casual,Alta,"Tipo 1, Tipo 2","Lista de eficacias de daño (debilidades x2.56/x1.6, resistencias x0.39/x0.24)",Multiplicación de eficacias base,Ninguno,SRC006,Alta,Baja,Alta,Alta,Alta,Sí,Baja,Nulo,Baja,Sí,Fase 2
CALC028,Dodge Damage reduction ROI,¿Esquivar charged moves mejora mi TDO en Raids?,Hardcore,Media,"Atacante, Boss, Tipo de esquiva (Perfecta/Tardia)","Delta de DPS y TDO con y sin esquiva",FOR010,DAT001 + DAT004 + DAT005,SRC005,Alta,Media,Media,Media,Media,Sí,Alta,Bajo,Alta,Sí,Fase 3
CALC029,GBL Team Builder Coverage Analyzer,¿Qué vulnerabilidades tiene mi equipo PvP de 3?,Hardcore,Alta,"Pokémon 1, Pokémon 2, Pokémon 3","Calificación de cobertura, amenazas críticas, sinergias de tipos",Matriz de eficacia agregada + simulación PvPoke,DAT001 + DAT004,SRC003,Alta,Alta,Alta,Alta,Alta,Sí,Alta,Medio,Alta,Sí,Fase 3
CALC030,Candy XL transfer optimization,¿Cuándo conviene transferir Pokémon para conseguir Caramelos XL?,Hardcore,Alta,"Especie, Nivel del Pokémon, Eventos con bono de transferencia","Probabilidad de obtener Caramelo XL, estrategia óptima (guardar/transferir)",Tasa de XL de transferencia por nivel,DAT001,SRC004,Alta,Baja,Alta,Media,Media,Sí,Baja,Nulo,Alta,Sí,Fase 2
